ihbar,olay_turu,oncelik,birim,ilce,mahalle,lat,lon,ihbar_metni
Kadıköy Moda Mahallesi Vatan Caddesi Orkide Sokak yakınlarında mahallesinde su baskını nedeniyle elektrik kesintisi yaşanıyor.,Sel Baskını,Orta,İSKİ,Kadıköy,Moda,40.978282,29.0118,
Ümraniye Armağanevler Mahallesi Cumhuriyet Caddesi Çiçek Sokak yakınlarında'de ana su borusu patladı. Sokak su altında kaldı.,Altyapı Arızası,Yüksek,Yol Bakım ve Altyapı,Ümraniye,Armağanevler,41.005446,29.116914,
Sancaktepe Sarıgazi Mahallesi Millet Caddesi Yıldız Sokak yakınlarında mahallesinde yoğun kar nedeniyle çatılarda çökme riski var.,Kar Fırtınası,Yüksek,Yol Bakım ve Altyapı,Sancaktepe,Sarıgazi,41.010352,29.219686,
Esenler Atışalanı Mahallesi İstiklal Caddesi 4. Sokak yakınlarında'de tipi nedeniyle görüş mesafesi sıfıra düştü. Sürücüler uyarılmalı.,Kar Fırtınası,Kritik,Yol Bakım ve Altyapı,Esenler,Atışalanı,41.027469,28.8895,
Tuzla Aydınlı Mahallesi Beşiktaş Caddesi Çiçek Sokak yakınlarında'de çatı katında yangın var. Bitişik binalara sıçrama riski mevcut.,Bina Yangını,Orta,Sağlık Ekipleri,Tuzla,Aydınlı,40.818782,29.313176,
Bağcılar Mahmutbey Mahallesi İstiklal Caddesi Güneş Sokak yakınlarında'de ana su borusu patladı. Sokak su altında kaldı.,Altyapı Arızası,Orta,İSKİ,Bağcılar,Mahmutbey,41.042851,28.867623,
Silivri Gümüşyaka Mahallesi Mecidiyeköy Yolu Papatya Sokak yakınlarında metro hattında elektrik kesintisi var. Vagonlar tünelde durdu.,Metro/Tünel Kazası,Yüksek,Metro İstanbul,Silivri,Gümüşyaka,41.068407,28.23528,
Kartal Yakacık Mahallesi Vatan Caddesi Papatya Sokak yakınlarında caddesinde aydınlatma direkleri devrildi. Tehlike arz ediyor.,Altyapı Arızası,Orta,İGDAŞ,Kartal,Yakacık,40.88879,29.176398,
Beyoğlu Galata Mahallesi Atatürk Caddesi 2. Sokak yakınlarında'de trafik kazası sonrası yakıt sızıntısı var. Yangın riski mevcut.,Trafik Kazası,Orta,İtfaiye,Beyoğlu,Galata,41.033047,28.959648,
Beykoz Kavacık Mahallesi Taksim Meydanı Lale Sokak yakınlarında'de tipi nedeniyle görüş mesafesi sıfıra düştü. Sürücüler uyarılmalı.,Kar Fırtınası,Yüksek,Ulaşım Daire Başkanlığı,Beykoz,Kavacık,41.123895,29.089865,
"Ümraniye Namık Kemal Mahallesi Beşiktaş Caddesi 3. Sokak yakınlarında'de kanalizasyon tıkandı, kötü koku yayılıyor. Acil temizlik gerekli.",Altyapı Arızası,Yüksek,İSKİ,Ümraniye,Namık Kemal,41.005473,29.136602,
"Maltepe Küçükyalı Mahallesi Barbaros Bulvarı 5. Sokak yakınlarında'de sel suları yükseliyor, bodrum katlar su altında. Acil pompa desteği isteniyor.",Sel Baskını,Orta,AFAD,Maltepe,Küçükyalı,40.938456,29.124991,
Avcılar Denizköşkler Mahallesi Millet Caddesi 2. Sokak yakınlarında apartmanında gaz kaçağı tespit edildi. Elektrik kesilmeli.,Gaz Kaçağı,Kritik,AFAD,Avcılar,Denizköşkler,40.963662,28.718791,
Şile Balibey Mahallesi Bağdat Caddesi 1. Sokak yakınlarında bölgesinde toprak kayması nedeniyle evler tehlike altında.,Heyelan,Kritik,AFAD,Şile,Balibey,41.189267,29.613107,
Adalar Burgazada Mahallesi Sahil Yolu Fatih Sokak yakınlarında'de inşaat çalışması sırasında gaz hattı hasar gördü.,Gaz Kaçağı,Kritik,İGDAŞ,Adalar,Burgazada,40.856879,29.107764,
Şişli Mecidiyeköy Mahallesi Kartal Caddesi Çiçek Sokak yakınlarında bölgesinde elektrik trafosu arızalandı. Geniş çaplı kesinti var.,Altyapı Arızası,Kritik,Yol Bakım ve Altyapı,Şişli,Mecidiyeköy,41.079319,28.989008,
Kartal Soğanlık Mahallesi Kadıköy Caddesi Menekşe Sokak yakınlarında sokağında doğalgaz borusu patladı. Bölge tahliye edilmeli.,Gaz Kaçağı,Yüksek,İtfaiye,Kartal,Soğanlık,40.907457,29.195811,
Sancaktepe Sarıgazi Mahallesi Taksim Meydanı Gül Sokak yakınlarında'de zincirleme trafik kazası meydana geldi. Çok sayıda yaralı var.,Trafik Kazası,Yüksek,Sağlık Ekipleri,Sancaktepe,Sarıgazi,40.989916,29.215861,
"Esenyurt Ardıçlı Mahallesi İstiklal Caddesi Güneş Sokak yakınlarında'de yol çöktü, altyapı hasarı mevcut. Tehlike oluşturdu.",Altyapı Arızası,Kritik,İGDAŞ,Esenyurt,Ardıçlı,41.022458,28.699517,
Beykoz Anadolu Hisarı Mahallesi Halaskargazi Caddesi Fatih Sokak yakınlarında yakınlarında yamaçtan kaya düşmesi var. Yol trafiğe kapatıldı.,Heyelan,Kritik,AFAD,Beykoz,Anadolu Hisarı,41.12302,29.098919,
Gaziosmanpaşa Karlıtepe Mahallesi Kadıköy Caddesi Atatürk Sokak yakınlarında metro istasyonunda teknik arıza nedeniyle yolcular mahsur kaldı.,Metro/Tünel Kazası,Kritik,Sağlık Ekipleri,Gaziosmanpaşa,Karlıtepe,41.081253,28.898867,
Beylikdüzü Barış Mahallesi Büyükdere Caddesi Yunus Emre Sokak yakınlarında'de aşırı yağmur sonrası sokaklar göle döndü. Araçlar mahsur kaldı.,Sel Baskını,Yüksek,İSKİ,Beylikdüzü,Barış,40.997945,28.630175,
Üsküdar Acıbadem Mahallesi Cumhuriyet Caddesi Çiçek Sokak yakınlarında bölgesinde fabrikada büyük yangın var. Birden fazla itfaiye ekibi gerekli.,Bina Yangını,Kritik,Sağlık Ekipleri,Üsküdar,Acıbadem,41.040455,29.029148,
Sultangazi 50. Yıl Mahallesi Barbaros Bulvarı 4. Sokak yakınlarında mahallesinde yoğun kar nedeniyle çatılarda çökme riski var.,Kar Fırtınası,Kritik,Ulaşım Daire Başkanlığı,Sultangazi,50. Yıl,41.080086,28.862317,
Beykoz Anadolu Hisarı Mahallesi Büyükdere Caddesi 1. Sokak yakınlarında'de ana gaz hattında sızıntı var. Trafik yönlendirilmeli.,Gaz Kaçağı,Kritik,İtfaiye,Beykoz,Anadolu Hisarı,41.122008,29.082339,
"Beyoğlu Tarlabaşı Mahallesi Kartal Caddesi Mimar Sinan Sokak yakınlarında'de şiddetli deprem hissedildi, binalarda hasar var. İlgili ekipler acilen yönlendirilsin.",Deprem,Orta,AFAD,Beyoğlu,Tarlabaşı,41.053775,28.978245,
Fatih Balat Mahallesi Vatan Caddesi 4. Sokak yakınlarında bölgesinde ormanlık alanda büyük yangın var. Helikopter desteği gerekiyor.,Orman Yangını,Yüksek,İtfaiye,Fatih,Balat,41.003395,28.955311,
Şişli Fulya Mahallesi Sahil Yolu Karanfil Sokak yakınlarında bölgesinde elektrik trafosu arızalandı. Geniş çaplı kesinti var.,Altyapı Arızası,Yüksek,İGDAŞ,Şişli,Fulya,41.04837,28.996348,
Sultanbeyli Battalgazi Mahallesi İstiklal Caddesi Yıldız Sokak yakınlarında'de heyelan meydana geldi. Yol tamamen kapandı.,Heyelan,Kritik,AFAD,Sultanbeyli,Battalgazi,40.965031,29.286638,
Büyükçekmece Fatih Mahallesi Mecidiyeköy Yolu Çiçek Sokak yakınlarında sokağında doğalgaz borusu patladı. Bölge tahliye edilmeli.,Gaz Kaçağı,Kritik,AFAD,Büyükçekmece,Fatih,41.031871,28.578081,
Adalar Burgazada Mahallesi Kennedy Caddesi Gül Sokak yakınlarında'de heyelan meydana geldi. Yol tamamen kapandı.,Heyelan,Orta,Kurtarma Ekipleri,Adalar,Burgazada,40.893657,29.075972,
Maltepe Cevizli Mahallesi Kennedy Caddesi Menekşe Sokak yakınlarında'de inşaat çalışması sırasında gaz hattı hasar gördü.,Gaz Kaçağı,Yüksek,İtfaiye,Maltepe,Cevizli,40.943304,29.117744,
